spent,nearest_starbucks,age,rate_quality,rate_price,rate_promo,ambiance,wifi,service,meetings_hangout
13,8,52,4,4,4,4,4,4,4
25,8,35,4,5,5,4,4,3,3
10,8,29,2,1,5,2,2,2,2
7,8,28,4,1,4,5,3,3,4
10,8,28,4,2,4,4,3,4,3
11,8,28,3,2,3,3,3,5,4
21,8,27,4,3,2,3,1,2,2
15,8,26,3,1,4,4,3,4,4
0,8,26,3,1,5,4,3,3,2
7,8,26,5,3,5,5,4,4,1
2,7,51,4,3,5,5,4,5,4
9,7,26,4,3,4,4,4,4,3
15,7,22,3,1,3,3,1,3,2
0,7,21,2,1,5,4,4,4,1
0,7,17,3,2,2,2,3,3,3
2,7,15,3,4,5,5,5,4,4
13,7,13,5,5,5,5,5,5,5
15,6,65,4,3,5,4,4,4,4
10,6,42,2,2,1,2,2,3,2
11,6,35,3,3,4,3,3,3,3
5,6,29,2,1,4,3,3,3,3
18,6,29,3,3,3,3,3,3,3
7,6,27,5,4,4,4,4,4,4
3,6,23,3,4,3,3,1,2,3
12,6,21,4,2,1,4,1,4,4
13,5,70,4,4,4,4,2,3,4
21,5,41,5,4,3,5,3,5,5
17,5,40,4,3,4,4,3,3,5
18,5,37,2,3,5,5,3,5,5
5,5,34,4,2,3,4,4,4,4
0,5,25,1,1,1,1,1,1,1
10,5,23,4,2,4,4,3,4,1
11,5,20,5,3,4,4,3,4,3
9,5,20,3,3,1,4,3,4,4
15,5,20,3,2,3,3,3,3,3
15,5,14,3,3,2,3,3,3,3
11,4,28,4,2,4,4,3,3,3
18,4,38,4,4,5,4,4,5,4
6,4,32,4,4,5,4,2,3,4
3,4,29,3,3,3,3,3,3,2
0,4,23,3,1,5,3,4,4,5
0,4,23,3,3,3,3,3,3,3
10,4,23,5,5,5,5,5,5,5
11,4,21,4,2,4,3,4,4,4
9,4,20,3,3,4,5,4,4,4
5,4,19,2,2,3,2,2,2,2
5,4,15,3,3,2,2,2,4,3
4,4,15,5,5,5,5,5,5,5
10,3,23,4,1,5,4,3,4,4
19,3,22,4,4,5,4,4,5,5
5,3,16,4,4,4,4,4,4,4
8,3,26,3,2,4,4,3,4,4
9,3,20,4,2,3,3,3,3,3
2,3,52,3,2,4,3,3,3,4
16,3,32,5,3,4,3,4,4,4
4,3,29,3,3,5,4,3,3,4
11,3,24,4,3,2,4,4,3,4
8,3,23,4,3,4,4,4,4,3
0,2,24,1,1,1,3,3,3,3
6,2,22,4,3,4,4,3,4,3
0,2,21,4,2,3,5,4,4,2
7,2,16,3,2,5,4,3,3,5
28,2,23,5,4,4,4,4,4,4
15,2,22,4,3,3,4,3,3,4
12,2,30,4,3,4,4,3,4,4
24,2,44,4,5,3,3,3,4,5
7,2,38,4,2,4,4,4,4,2
10,2,31,3,2,4,4,4,5,4
6,2,30,4,4,2,4,3,4,5
9,2,29,5,4,4,5,4,4,3
5,2,28,4,4,4,4,4,4,4
9,2,25,4,3,4,3,2,3,4
27,2,25,2,1,5,1,4,3,3
4,2,24,4,3,2,4,3,4,4
10,2,22,4,3,4,4,4,5,2
0,2,21,5,5,5,5,4,5,5
7,2,20,3,4,3,4,3,4,2
25,2,20,5,5,5,5,5,5,5
8,2,19,3,3,3,3,4,3,3
0,2,17,3,3,3,3,3,3,3
3,1,13,5,2,3,4,4,3,5
18,1,45,5,4,3,4,3,3,3
14,1,42,3,3,3,4,3,3,3
14,1,40,3,3,5,3,2,4,4
19,1,38,4,3,1,4,4,5,4
4,1,27,3,2,3,3,3,4,3
19,1,27,3,2,4,3,1,3,3
10,1,26,5,5,5,5,3,5,5
13,1,26,5,4,3,4,3,3,3
3,1,26,3,3,5,4,3,3,4
11,1,23,4,3,4,5,5,5,5
4,1,23,4,2,5,3,2,4,4
10,1,23,1,1,5,4,3,3,2
11,1,22,4,3,4,3,3,4,4
12,1,21,3,3,4,2,2,3,3
13,0,41,5,4,5,5,1,4,4
6,0,38,3,2,5,3,3,5,3
11,0,34,4,3,3,4,3,3,3
14,0,34,3,3,3,3,3,3,3
18,0,33,2,2,5,3,3,4,3
19,0,31,4,3,4,5,5,4,5
14,0,29,5,5,5,5,3,5,5
18,0,29,5,4,5,5,3,5,5
19,0,29,4,3,4,5,4,4,4
8,0,28,4,3,4,5,5,5,3
0,0,28,3,3,3,3,3,3,3
3,0,27,3,4,4,3,4,4,3
12,0,27,5,1,3,3,2,3,3
3,0,26,5,2,5,5,5,5,2
2,0,26,4,4,4,4,4,4,4
7,0,26,5,2,5,5,2,4,3
9,0,26,4,2,3,5,4,4,5
0,0,24,3,3,3,1,3,3,4
6,0,24,4,4,4,4,4,4,4
19,0,22,5,3,4,3,3,4,5
11,0,22,4,3,3,3,2,3,4
2,0,22,3,3,4,4,5,5,2
5,0,22,3,4,5,4,3,4,2
16,0,22,4,3,5,4,4,5,5
2,0,20,4,3,5,5,4,4,3
19,0,20,4,4,4,4,4,4,4
3,0,14,3,3,3,3,3,3,3